"NUM_ELE","SIGLE_ELE","CNUM","SUBDIVISION","TYPE_ELE","TYPE_RGR","RTRIM(INTIT_ABREGE)"
"34014","LECON","100","I","0","9","minecon"
"34024","LGES3","100","I","0","9","mingestsinf"
"34022","LGES1","100","I","0","9","minogest"
"203938","LSINF","110","P","0","10","appsinf"
"47260","LINFO","200","M","0","20","INFO2M"
"47425","LSINF","200","M","0","20","SINF2M"
"54831","LFSA","100","B","0","21","FSA1BA"
"55370","LSINF","100","B","0","21","SINF1BA"
"55413","LSINF","109","K","0","22","SINF1PM"
"47498","LSINF","201","U","0","23","SINF2M1"